"","Country","Region","Score","Economy","Family","Health","Freedom","Trust","Generosity"
"82","Jordan","Middle East and Northern Africa",4.56641044116701,2.17039176265625,3.30686050625328,2.89968262944575,2.70431883571911,1.28403664854812,0.840256540023554
"83","Montenegro","Central and Eastern Europe",4.56641044116701,2.3446044543083,2.84138612859399,3.01968557805304,1.21445271735154,1.28430615879409,1.22697372260745
"84","China","Eastern Asia",4.52067597603976,2.14185360626131,2.97059566598536,3.40013906223928,3.43831117902095,0.249835998013876,0.622229239128996
"85","Zambia","Sub-Saharan Africa",4.51100137764745,1.13185312015593,2.87448862056774,1.24599869331172,3.24743060405934,1.12008458224991,1.48932107804229
"86","Romania","Central and Eastern Europe",4.50660383292368,2.51080432464541,2.77960526916621,3.20160538459892,2.33233449573295,0.0583040498781034,1.04513226384184
"87","Serbia","Central and Eastern Europe",4.50572432397892,2.21502774926047,3.16792417027247,3.11607934142079,1.33729467622056,0.235102771234201,1.46195363441536
"88","Portugal","Western Europe",4.48725463613907,2.7910365079299,3.57491224931652,3.64418392059712,3.42314714728183,0.096844015051765,1.04292766421633
"89","Latvia","Central and Eastern Europe",4.48373660036005,2.67844794657079,3.4377016356661,3.01618792098051,1.97338590232954,0.568846292493299,1.38555285429017
"90","Philippines","Southeastern Asia",4.46174887674118,1.69717811707211,3.24799768640233,2.41979575134064,4.15979984702913,1.10310543675382,1.89983273244627
"91","Somaliland region","Sub-Saharan Africa",4.44767673362511,0.453506436404159,2.98556238510524,1.82681796122393,3.09811809855801,3.58700170035888,3.82520841227768
"92","Morocco","Middle East and Northern Africa",4.40897834005589,1.76809038258297,2.01109405029133,2.53804987141166,2.77282301418965,0.767744854018909,0.545220293589879
"93","Macedonia","Central and Eastern Europe",4.40370128638737,2.21016711891327,3.14495637489353,3.06232368331808,2.22518863989214,0.478560360093462,1.6997463112627
"94","Mozambique","Sub-Saharan Africa",4.37203896437619,0.19991146992337,3.22007236141973,0.380203651538207,2.26376380835128,1.40172278928821,1.69290445035597
"95","Albania","Central and Eastern Europe",4.36148485703913,2.1143020134517,2.52375908949423,3.38627335027321,2.37656292163869,0.57612306913448,1.08496709845437
"96","Bosnia and Herzegovina","Central and Eastern Europe",4.35268976759159,2.00255564051909,2.88402715853932,3.29283593990723,0.61487488345646,0.0203929419450377,1.88592094860258
"97","Lesotho","Sub-Saharan Africa",4.30783481140909,0.903427556364098,3.26641585018298,0.316954352810079,2.11278858007154,1.12331870520155,1.24582685043934
"98","Dominican Republic","Latin America and Caribbean",4.29640119512728,2.15448643265873,3.67742015574139,2.78251111751623,3.83570192306122,1.27873628037739,1.6484323544622
"99","Laos","Southeastern Asia",4.28848561462449,1.42127718855245,2.31569972998909,2.28634347851401,3.96333252353206,2.17845131817277,3.20746439307643
"100","Mongolia","Eastern Asia",4.28672659673498,1.9928343798247,4.08086265981575,2.50948567198605,2.90151775723867,0.239504771918372,2.52616708811931
"101","Swaziland","Sub-Saharan Africa",4.28057003412169,1.71339625991376,3.36622535441852,0.315038969175126,2.03903019762122,0.274900450889055,1.38806153662264
"102","Greece","Western Europe",4.27177494467414,2.7769599299442,2.91593733326662,3.67308123022011,0.512052106839512,0.125501937873206,0
"103","Lebanon","Middle East and Northern Africa",4.25594378366856,2.46794896500006,2.51017294823865,3.49545021746554,2.25571623010377,0.41163198234433,1.66135586950826
"104","Hungary","Central and Eastern Europe",4.22164293482312,2.69726484227133,3.77195836267684,3.16059119154611,2.13573415441361,0.247769752794775,0.973064662290916
